Datetime,Short.,Long.,close,Buy,Sell
2022-05-18 09:15:00+05:30,,,16356.599609375,False,False
2022-05-18 09:20:00+05:30,,,16361.650390625,False,False
2022-05-18 09:25:00+05:30,,,16368.599609375,False,False
2022-05-18 09:30:00+05:30,,,16339.75,False,False
2022-05-18 09:35:00+05:30,,,16357.5498046875,False,False
2022-05-18 09:40:00+05:30,,,16385.55078125,False,False
2022-05-18 09:45:00+05:30,,,16394.44921875,False,False
2022-05-18 09:50:00+05:30,,,16393.0,False,False
2022-05-18 09:55:00+05:30,,,16381.349609375,False,False
2022-05-18 10:00:00+05:30,,,16345.75,False,False
2022-05-18 10:05:00+05:30,,,16308.900390625,False,False
2022-05-18 10:10:00+05:30,,,16340.150390625,False,False
2022-05-18 10:15:00+05:30,,,16327.9501953125,False,False
2022-05-18 10:20:00+05:30,,,16332.900390625,False,False
2022-05-18 10:25:00+05:30,,,16330.900390625,False,False
2022-05-18 10:30:00+05:30,,,16348.099609375,False,False
2022-05-18 10:35:00+05:30,,,16364.2998046875,False,False
2022-05-18 10:40:00+05:30,,,16367.900390625,False,False
2022-05-18 10:45:00+05:30,,,16362.599609375,False,False
2022-05-18 10:50:00+05:30,,,16350.400390625,False,False
2022-05-18 10:55:00+05:30,,,16335.0,False,False
2022-05-18 11:00:00+05:30,16367.306818181818,16314.493963068182,16348.349609375,False,False
2022-05-18 11:05:00+05:30,16381.227494673296,16320.773481889204,16320.7998046875,False,False
2022-05-18 11:10:00+05:30,16380.641157670454,16321.359818892046,16332.7001953125,False,False
2022-05-18 11:15:00+05:30,16379.659312855114,16322.341663707386,16338.0,False,False
2022-05-18 11:20:00+05:30,16377.654740767046,16324.346235795454,16328.650390625,False,False
2022-05-18 11:25:00+05:30,16376.64559659091,16325.35537997159,16349.0,False,False
2022-05-18 11:30:00+05:30,16374.047895951704,16327.953080610796,16362.900390625,False,False
2022-05-18 11:35:00+05:30,16373.086558948864,16328.914417613636,16358.4501953125,False,False
2022-05-18 11:40:00+05:30,16373.952281605114,16323.398304332386,16350.7001953125,False,False
2022-05-18 11:45:00+05:30,16373.76131924716,16311.28848544034,16349.7998046875,False,False
2022-05-18 11:50:00+05:30,16372.10458096591,16303.39541903409,16345.2001953125,False,False
2022-05-18 11:55:00+05:30,16368.947709517046,16306.552290482954,16351.650390625,False,False
2022-05-18 12:00:00+05:30,16365.906960227272,16309.593039772728,16346.2998046875,False,False
2022-05-18 12:05:00+05:30,16368.418235085228,16313.131569602272,16345.650390625,False,False
2022-05-18 12:10:00+05:30,16368.193314985796,16313.356489701704,16333.0498046875,False,False
2022-05-18 12:15:00+05:30,16359.597611860796,16310.751997514204,16298.0498046875,False,True
2022-05-18 12:20:00+05:30,16322.78164950284,16309.81795987216,16260.0498046875,False,True
2022-05-18 12:25:00+05:30,16304.702414772728,16309.047585227272,16246.599609375,False,True
2022-05-18 12:30:00+05:30,16296.066051136364,16302.233753551136,16230.75,False,True
2022-05-18 12:35:00+05:30,16291.388893821022,16296.811301491478,16264.400390625,False,True
2022-05-18 12:40:00+05:30,16293.113947088068,16292.136052911932,16234.0498046875,False,True
2022-05-18 12:45:00+05:30,16291.756791548296,16291.842817826704,16233.7001953125,False,True
2022-05-18 12:50:00+05:30,16292.772727272728,16290.826882102272,16248.5498046875,False,True
2022-05-18 12:55:00+05:30,16290.85684481534,16292.74276455966,16257.650390625,False,True
2022-05-18 13:00:00+05:30,16290.563609730114,16293.035999644886,16255.0,False,True
2022-05-18 13:05:00+05:30,16291.279518821022,16292.320090553978,16236.75,False,True
2022-05-18 13:10:00+05:30,16292.377219460228,16291.222389914772,16257.2001953125,False,True
2022-05-18 13:15:00+05:30,16290.713556463068,16292.886052911932,16256.7001953125,False,True
2022-05-18 13:20:00+05:30,16291.831764914772,16291.767844460228,16231.349609375,False,True
2022-05-18 13:25:00+05:30,16295.329545454546,16285.270063920454,16257.7998046875,False,True
2022-05-18 13:30:00+05:30,16301.704545454546,16278.895063920454,16319.9501953125,True,False
2022-05-18 13:35:00+05:30,16303.224920099432,16277.374689275568,16340.849609375,True,False
2022-05-18 13:40:00+05:30,16301.895374644886,16277.755015980114,16346.7998046875,True,False
2022-05-18 13:45:00+05:30,16303.286177201704,16272.864213423296,16326.099609375,True,False
